ID,Male,Female,Original Ask Amount,Original Offered Equity,Valuation Requested,DEAL,Uncertainty,Positive Finance,Negative Finance,Certainty,Happiness Positive,Happiness Negative,Positive Sociability,Positive Morality,Positive Ability,Positive Agency,Negative Sociability,Negative Morality,Negative Ability,Negative Agency,WPM,Word Count,Sentence Count,angry_overall,disgust_Overall,fear_Overall,happy_Overall,sad_Overall,surprise_Overall,Age,No. Of Entrepreneurs,Asian,black,indian,latino hispanic,middle eastern,white,Min Pitch,Max Pitch,Mean Pitch,Sd Pitch,Mean Intensity,Sd Intensity,Jitter,Shimmer,HNR,Energy,Industry,X_left_hand_avg_velocity,X_left_hand_STD_velocity,Y_left_hand_avg_velocity,Y_left_hand_STD_velocity,X_right_hand_avg_velocity,X_right_hand_STD_velocity,Y_right_hand_avg_velocity,Y_right_hand_STD_velocity,crossing_arms,Closed_Fist,Open_Palm,Pointing_Up,Thumb_Down,Thumb_Up,hand_distance,left_hand_height_binary,right_hand_height_binary,open_pose
S12E08P0,0,1,800000.00,0.08,10000000.00,0,0.02,0.00,0.02,0.00,0.69,0.11,0.04,0.03,0.11,0.00,0.00,0.01,0.00,0.00,178.78,230.00,36,8.88,0.52,9.70,40.25,14.40,0.80,33.27,2,0,0,0,0,0,1,141.42,364.95,248.18,61.68,57.72,5.80,0.02,0.11,10.15,0.00,3,0.0005857543591176099,0.0661466822037348,0.00023696670306111065,0.07615799033522165,0.00012819832671469989,0.05941868340299778,0.0002357063599377655,0.09114884144960247,0.02924791086350975,0.0,0.005571030640668524,0.005571030640668524,0.0,0.023676880222841225,0.3765625,0.5339622641509434,0.5278276481149012,0.3603082851637765
S13E12P2,0,0,250000.00,0.10,2500000.00,1,0.02,0.02,0.02,0.00,0.59,0.22,0.02,0.02,0.05,0.09,0.02,0.07,0.01,0.00,149.34,232.00,42,14.95,0.40,11.69,18.77,27.32,2.48,33.93,3,0,0,0,1,1,1,95.03,365.48,196.73,61.85,57.67,5.65,0.02,0.13,8.18,0.00,9,-7.128831092010224e-05,0.11274178385569235,-0.00040254629770034185,0.14924392940872452,9.345323095030969e-05,0.141710463762625,-0.0003612211261319545,0.1458995095106277,0.03505535055350553,0.0,0.011992619926199263,0.008302583025830259,0.0,0.023985239852398525,0.6178535606820461,0.7319474835886215,0.6721491228070176,0.4083885209713024
S12E19P3,1,0,500000.00,0.10,5000000.00,1,0.02,0.00,0.05,0.00,0.63,0.19,0.00,0.00,0.05,0.00,0.00,0.12,0.00,0.00,155.14,77.00,8,5.28,0.66,12.17,33.55,20.66,1.46,32.91,2,0,0,0,1,0,1,92.43,334.99,154.00,55.65,59.06,6.23,0.03,0.11,7.77,0.00,2,0.0009401507780585498,0.11102674948386042,0.00042557279828568054,0.07788591200339633,0.0005321663030436371,0.1120721855365979,0.0006866470189161691,0.07054787113289927,0.199438202247191,0.0,0.0,0.0,0.0,0.0702247191011236,0.5304054054054054,0.751412429378531,0.7818791946308725,0.5202702702702703
S06E04P2,1,0,100000.00,0.25,400000.00,0,0.02,0.05,0.02,0.00,0.70,0.09,0.00,0.00,0.00,0.05,0.05,0.07,0.00,0.00,135.51,76.00,7,10.86,0.03,16.56,8.49,36.12,0.36,30.98,2,0,0,0,0,0,1,83.71,267.18,157.63,49.46,74.60,5.20,0.03,0.12,7.43,0.06,1,0.0021143717265054342,0.10797577018805936,-0.0002938421168671105,0.09236827715756958,-0.0002451892183118498,0.07798965766671545,-0.00010019391308010436,0.09654896375785063,0.19375,0.0,0.0,0.0,0.0,0.01875,0.549407114624506,0.9925925925925926,0.8571428571428571,0.2981651376146789
S12E09P1,1,0,500000.00,0.02,20000000.00,0,0.02,0.00,0.07,0.00,0.61,0.17,0.03,0.05,0.05,0.00,0.00,0.03,0.00,0.00,156.05,78.00,13,37.16,0.15,4.28,2.71,26.87,0.20,36.23,1,0,0,0,0,0,1,125.93,263.58,178.05,43.08,56.09,5.27,0.03,0.14,8.20,0.00,1,0.0003302619255409024,0.040436969276314995,-6.913665741210762e-06,0.06944361955641216,-0.00022009693125568045,0.030945147797622124,-8.251679637445066e-05,0.08227185592229538,0.026385224274406333,0.0,0.05804749340369393,0.002638522427440633,0.0,0.021108179419525065,0.5753424657534246,0.27977839335180055,0.41388888888888886,0.5666666666666667
S13E12P3,1,0,250000.00,0.05,5000000.00,1,0.02,0.01,0.00,0.00,0.69,0.13,0.02,0.01,0.03,0.07,0.01,0.08,0.00,0.00,190.21,241.00,19,5.87,0.10,20.39,22.08,23.36,4.73,28.39,2,0,0,0,0,0,1,119.46,375.18,178.48,48.55,56.90,5.37,0.03,0.13,6.84,0.00,1,0.0003082881168443316,0.0778960845912325,0.000311247426636366,0.09476291977995664,4.032400189614021e-05,0.0849619000175739,0.0003967717796766833,0.10113342818358603,0.057065217391304345,0.001358695652173913,0.004076086956521739,0.0,0.001358695652173913,0.036684782608695655,0.3834048640915594,0.31196581196581197,0.459802538787024,0.3485714285714286
S06E19P3,0,1,250000.00,0.05,5000000.00,0,0.03,0.02,0.03,0.01,0.72,0.08,0.02,0.05,0.08,0.02,0.03,0.08,0.00,0.00,142.81,242.00,21,10.20,0.26,8.50,27.73,18.65,1.65,31.39,2,0,0,0,0,0,1,139.92,443.09,253.71,95.69,72.18,4.85,0.02,0.14,8.13,0.05,5,0.000245285947540163,0.07790452462365792,-0.0004058130666160837,0.1132060585604376,0.0005027888394409966,0.06838302891494032,-0.0004244251484285102,0.09268336595442926,0.04353562005277045,0.0,0.00395778364116095,0.0,0.002638522427440633,0.006596306068601583,0.5535465924895688,0.839622641509434,0.8051529790660226,0.5764895330112721
S06E26P1,1,0,120000.00,0.18,666667.00,0,0.03,0.08,0.01,0.05,0.76,0.08,0.10,0.00,0.04,0.03,0.01,0.04,0.00,0.00,173.72,154.00,14,10.80,0.41,11.87,30.32,24.79,1.43,31.50,2,0,0,0,0,0,1,115.51,374.06,205.82,61.79,74.65,4.97,0.03,0.12,6.97,0.06,8,0.00014769353649832912,0.08571665763151669,-0.00011567214522698614,0.09251643678074688,0.00010618296536532606,0.08771124603729868,-0.0002180691118593599,0.09454971566056569,0.0453781512605042,0.0,0.0,0.0,0.0,0.03697478991596639,0.7389473684210527,0.9267015706806283,0.8578811369509044,0.45558739255014324
S09E20P0,0,0,300000.00,0.15,2000000.00,1,0.03,0.00,0.00,0.00,0.77,0.05,0.13,0.03,0.08,0.00,0.00,0.05,0.00,0.00,159.29,69.00,7,3.51,0.01,12.48,40.30,18.27,3.06,30.94,2,1,0,0,0,0,1,102.94,452.61,216.89,75.81,68.03,4.76,0.02,0.12,6.97,0.02,3,-0.0006060642309677882,0.10054013053203029,-0.00012409152128757894,0.09643654982863033,0.000458864351877796,0.08030976744469272,-0.00036932642643268344,0.0953691017070136,0.08945686900958466,0.0,0.003194888178913738,0.0,0.0,0.10543130990415335,0.5983263598326359,0.9863013698630136,0.9735449735449735,0.27071823204419887
S07E28P1,1,0,50000.00,0.20,250000.00,1,0.03,0.01,0.01,0.01,0.74,0.13,0.00,0.03,0.04,0.04,0.00,0.03,0.00,0.01,174.94,161.00,14,9.46,0.28,11.21,16.57,27.31,0.80,33.80,2,0,0,0,0,0,1,101.13,310.71,173.88,60.02,74.18,4.66,0.03,0.13,5.55,0.06,10,-1.1948865889099874e-05,0.06335028690116021,-1.2303333570399191e-05,0.05223375971384826,6.906194434074507e-05,0.06214622518926492,-1.2559550149100944e-05,0.05704619650697091,0.027961736571008096,0.0,0.0,0.0,0.0,0.003679175864606328,0.3627537511032657,0.9181916038751345,0.861878453038674,0.30077691453940064
