ID,Male,Female,Ask Amount,Offered Equity,Valuation Requested,Deal,Verbal Uncertainty,Verbal Pos-Finance,Verbal Neg-Finance,Verbal Certainty,Verbal Pos-Happiness,Verbal Neg-Happiness,Verbal Pos-Sociability,Verbal Pos-Morality,Verbal Pos-Ability,Verbal Pos-Agency,Verbal Neg-Sociability,Verbal Neg-Morality,Verbal Neg-Ability,Verbal Neg-Agency,WPM,Word Count,Sentence Count,Face Angry,Face Disgust,Face Fear,Face Happy,Face Neutral,Face Sad,Face Surprise,Age,# Of Entrepreneurs,Ethnicity Asian,Ethnicity Black,Ethnicity Indian,Ethnicity Latino Hispanic,Ethnicity Middle Eastern,Ethnicity White,Min Pitch,Max Pitch,Mean Pitch,STD Pitch,Min Intensity,Max Intensity,Mean Intensity,STD Intensity,Jitter,Shimmer,HNR,Energy,Industry,Avg Velocity Left Hand X,STD Velocity Left Hand X,Avg Velocity Left Hand Y,STD Velocity Left Hand Y,Avg Velocity Right Hand X,STD Velocity Right Hand X,Avg Velocity Right Hand Y,STD Velocity Right Hand Y,Crossing Arms,Closed Fist,Open Palm,Pointing Up,Thumb Down,Thumb Up,Hand Distance,Left Hand Height,Right Hand Height,Open Pose
S04E10P3,1,0,75000,10,750000,1,0,0,0,0,0.4736842105,0.2105263158,0,0,0,0.05555555556,0,0.1666666667,0,0,161.6161616,24,4,8.261830198,1.039093816,20.85899699,45.68154343,16.06418619,7.003357026,1.090992372,29.68309859,1,0,0,0,0,0,1,75.63492417,608.6635007,248.8640155,187.7500806,59.1471005,80.47836058,76.84439024,3.743789732,0.03628374179,0.1908035964,5.015093271,0.1719963232,5,-0.0012216641921405608,0.04145889923447487,-0.003910862660223203,0.06712893702667093,0.001787017713221469,0.030950325977122,-0.005563106647757595,0.055812926495659915,0.0,0.0,0.0,0.0,0.0,0.0,0.08737864077669903,1.0,0.8,0.0
S04E11P0,0,1,150000,15,1000000,1,0,0,0,0,0.52,0.04,0.04166666667,0,0.04166666667,0,0,0,0,0,145.0419339,49,4,7.979577453,0.8340324338,15.39659225,30.03943795,17.10033339,26.66588422,1.984142718,31.80349345,2,1,0,0,0,0,1,79.38382267,378.4041813,175.3238981,75.78504942,55.90881253,80.51157371,75.58946508,4.957854083,0.03194211368,0.1387585721,5.314485171,0.07819792583,4,0.0026944158298354,0.08431927801200975,0.0014135808713974518,0.09534902739470896,-7.391396549440848e-05,0.07771238193021103,0.002058908102973817,0.13641179695904665,0.05622489959839357,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.9831460674157303,0.96045197740113,0.11585365853658537
S04E11P1,0,1,250000,5,5000000,0,0,0.04838709677,0.02150537634,0.02688172043,0.7365591398,0.1397849462,0.04324324324,0.05405405405,0.07567567568,0,0.005405405405,0.05945945946,0,0,164.7269472,368,43,12.15528098,0.5809075058,12.37956938,25.67073765,21.89892375,25.73492023,1.579661078,35.69057471,2,0,0,0,0,0,1,131.0282691,429.8127412,251.2137547,83.49807224,57.66560561,79.28179511,74.50416361,4.944987316,0.02899759274,0.122435352,6.67120612,0.05459658985,3,-0.00018503913793179027,0.08717254151266368,-0.00012320586802730778,0.11676522656483404,0.00019921289863108818,0.10196989605445649,-1.781283565622318e-05,0.1256206301283391,0.024322446143154968,0.0,0.04169562195969423,0.006254343293954135,0.0006949270326615705,0.02849200833912439,0.701853344077357,0.5195121951219512,0.4650602409638554,0.6758448060075094
S04E11P2,1,0,150000,30,500000,1,0,0,0,0,0.7631578947,0.02631578947,0.02702702703,0.02702702703,0,0.05405405405,0,0.02702702703,0,0,189.0639481,68,0,4.050577521,0.5309686274,32.4752743,16.59833985,25.95474902,19.91709505,0.4729962459,29.99019608,2,0,0,0,0,0,1,78.96904513,410.0170126,142.0543071,61.92728727,59.32466381,81.83337858,76.04323523,4.755961385,0.03103407546,0.1222180449,6.723420124,0.05017680576,1,0.0007129496143710218,0.06128801442871938,0.00341071621064217,0.12526755797278516,-1.9618772691294762e-05,0.05456998723520598,0.003050996988050403,0.1279921184658649,0.09967845659163987,0.012861736334405145,0.0,0.00964630225080386,0.0,0.006430868167202572,0.38372093023255816,0.6287425149700598,0.9536423841059603,0.23841059602649006
S04E11P3,0,0,100000,20,500000,0,0,0,0,0,0.5161290323,0.06451612903,0,0.03333333333,0,0.06666666667,0,0.06666666667,0,0,180.2293829,55,3,6.668612955,0.3791495578,11.49003623,39.34058784,24.81184735,15.58913898,1.720627815,29.93431856,2,0,0,0,0,0,1,112.5389903,358.776351,206.873714,55.98386263,56.60843896,81.02584581,75.75151465,5.226267764,0.02446673609,0.1237019443,6.471706721,0.04612319813,5,-0.0008044326640515941,0.08053765396847096,0.0019080986579259206,0.10336819966815038,-0.0020083656392423034,0.06519360839323479,0.0006434824093278601,0.11268416393870034,0.008,0.0,0.0,0.0,0.0,0.024,0.8578199052132701,0.9887640449438202,0.9723756906077348,0.3258426966292135
S04E12P0,1,0,450000,25,1800000,1,0,0.02272727273,0,0,0.7272727273,0.06818181818,0.04651162791,0.02325581395,0.02325581395,0.06976744186,0.04651162791,0.04651162791,0,0,120.0324412,74,5,20.83840673,0.4220859395,16.98654026,25.44622534,11.78968559,21.03227419,3.484782319,29.4568306,1,0,0,0,0,0,1,110.9727055,346.4726777,185.890832,61.25288383,51.59118571,72.00516124,66.542499,4.804627609,0.02394799063,0.127177605,9.874534646,0.006371273147,5,0.002095319073775718,0.12721223789709216,0.003981306749285408,0.22950618085824792,-0.0017532021149821721,0.10020782212936298,0.0039568262538690726,0.19979843902228947,0.015267175572519083,0.0,0.007633587786259542,0.0,0.0,0.0,0.7051282051282052,0.9027777777777778,0.896551724137931,0.2482758620689655
S04E12P2,1,0,50000,30,166667,0,0,0.01052631579,0,0,0.6315789474,0.1578947368,0.02150537634,0.02150537634,0.01075268817,0.03225806452,0.01075268817,0.01075268817,0,0,148.6817461,172,16,24.24344534,0.5489669653,11.51692121,22.5281687,25.16872394,14.27298548,1.720789058,33.17639257,1,0,0,0,0,0,1,95.45473461,279.4353957,157.2351035,44.64180347,53.00304312,70.19712977,65.25528144,3.820628587,0.02526377322,0.1357788015,8.031837717,0.002248564667,3,9.351460062171745e-05,0.0873934482349092,0.00043213808978045644,0.11011123981621887,0.0002470256913687286,0.0745147384745866,-9.761906668375875e-05,0.14052731486962713,0.09163987138263666,0.001607717041800643,0.003215434083601286,0.0,0.0,0.00482315112540193,0.674,0.7317073170731707,0.5425219941348973,0.608433734939759
S04E13P0,1,0,150000,5,3000000,1,0,0.05128205128,0,0.02564102564,0.6923076923,0.1025641026,0,0.05263157895,0,0.07894736842,0,0.05263157895,0,0,147.7832512,70,6,10.44847139,0.06862780952,11.28546171,10.98353817,37.22898137,28.1821783,1.802742029,28.53928571,2,0,0,0,0,0,1,96.47692834,300.5033227,150.2307925,47.40188342,53.63926386,74.65988163,69.80299732,5.411558771,0.03439049833,0.1210248554,7.821555855,0.01285030028,3,-0.000571687554204184,0.14924015203597915,-0.0015321583842914377,0.18925083032457168,0.0001135826902928164,0.10068746183229003,-0.00307226359250142,0.17313833836045156,0.08609271523178808,0.0,0.0,0.0,0.0,0.006622516556291391,0.6944444444444444,0.8333333333333334,0.5368421052631579,0.32967032967032966
S04E13P1,0,1,50000,10,500000,1,0,0.02739726027,0.03424657534,0.006849315068,0.5684931507,0.1849315068,0.0275862069,0.04137931034,0.02068965517,0.006896551724,0.006896551724,0.1034482759,0,0,179.800222,270,22,4.644408599,0.05060143272,14.27126486,22.38160799,37.36734792,20.09132227,1.193447559,29.94499018,2,0,0,0,0,0,1,134.1990101,388.1287358,233.740916,64.04931977,53.70066258,75.45033286,70.88818479,5.340155299,0.03095149142,0.1211657279,10.85312425,0.01813507812,4,0.00011506526648592523,0.08683948955479329,-0.00016588272691583924,0.11702975071859115,-6.509788182317065e-05,0.09568189696645539,-0.00017756402087049534,0.1445187200350412,0.0625,0.001358695652173913,0.008152173913043478,0.0,0.002717391304347826,0.019021739130434784,0.3934142114384749,0.8060046189376443,0.6433915211970075,0.2807017543859649
S04E13P3,1,0,300000,12,2500000,1,0,0.05555555556,0,0,0.6666666667,0.05555555556,0.08823529412,0,0,0,0,0.05882352941,0,0,236.9720241,72,6,27.20888233,0.7591627695,3.455646026,32.31352958,20.77904047,15.39363597,0.09010372221,32.1352459,2,0,0,0,0,0,1,96.48447329,321.0110576,151.8698005,56.65794291,53.73416617,74.46925245,70.06804661,4.896251429,0.03555045857,0.1326068747,7.289906764,0.0287030271,1,0.0013770541148399255,0.07511212620645005,-0.00033536886990959944,0.11185055164040518,-0.0006435236045673681,0.04261245312710104,0.0005453435787514112,0.11201029820177665,0.0,0.0,0.0,0.0,0.0,0.026022304832713755,0.9345238095238095,0.9574468085106383,0.9318181818181818,0.5348837209302325
